Lat,Long,Satellite,Time_UTC,Date,Source,PROVINSI,KAB_KOTA,kec2006,desaa2006,nama_kaw
0.59,111.65,NOAA19,7:23:59 AM,20161026,ASMC,KALIMANTAN BARAT,SINTANG,KETUNGAU TENGAH,TIRTA KARYA,
0.01,111.115,NOAA19,7:23:59 AM,20161026,ASMC,KALIMANTAN BARAT,SEKADAU,SEKADAU HILIR,TAPANG SEMADAK,
0.215,111.36,NOAA19,7:23:59 AM,20161026,ASMC,KALIMANTAN BARAT,SINTANG,KETUNGAU HILIR,SEMUNTAI,
0.29,111.325,NOAA19,7:23:59 AM,20161026,ASMC,KALIMANTAN BARAT,SINTANG,KETUNGAU HILIR,SEMUNTAI,
-2.39,111.15,NOAA19,6:57:54 AM,20161229,ASMC,KALIMANTAN TENGAH,SUKAMARA,SUKAMARA,PETARIKAN,
-0.89,102.225,NOAA19,8:17:43 AM,20161222,ASMC,RIAU,INDRAGIRI HULU,KECAMATAN BATANG CENAKU,ALIM,
-7.593,108.723,NOAA19,6:57:54 AM,20161229,ASMC,JAWA BARAT,CIAMIS,KALIPUCANG,TUNGGILIS,
-2.12,112.94,NOAA19,7:13:03 AM,20161027,ASMC,KALIMANTAN TENGAH,KOTAWARINGIN TIMUR,CEMPAGA,JEMARAS,
-0.64,115.12,NOAA19,7:13:03 AM,20161027,ASMC,KALIMANTAN TENGAH,BARITO UTARA,LAHEI,JANGKANG BARU,
-0.105,112.285,NOAA19,6:58:29 AM,20160923,ASMC,KALIMANTAN BARAT,SINTANG,KAYAN HULU,NANGA UNGAI,
-0.34,112.64,NOAA19,6:58:29 AM,20160923,ASMC,KALIMANTAN BARAT,SINTANG,SERAWAI,TONTANG,
-0.153,113.78,NOAA19,6:58:29 AM,20160923,ASMC,KALIMANTAN TENGAH,MURUNGRAYA,SUMBER BARITO,TUMBANG NAAN,
-0.403,112.763,NOAA19,6:58:29 AM,20160923,ASMC,KALIMANTAN BARAT,SINTANG,SERAWAI,NANGA RIYOI,
-2.93,115.81,NOAA19,7:00:51 AM,20161028,ASMC,KALIMANTAN SELATAN,KOTABARU,HAMPANG,CANTUNG KIRI HULU,
-0.83,101.32,NOAA19,8:17:43 AM,20161222,ASMC,SUMATERA BARAT,SIJUNJUNG,KAMANG BARU,MALARO,CA BATANG PANGEAN II
-0.86,101.62,NOAA19,8:17:43 AM,20161222,ASMC,SUMATERA BARAT,DHARMASRAYA,KUANTAN MUDIK,PANGKALAN,
1.34,99.92,NOAA19,8:27:26 AM,20160924,ASMC,SUMATERA UTARA,PADANG LAWAS,BARUMUN TENGAH,SAYUR MAHINCAT,
